name,blsPage,blsSalary,glassDoorPage,glassDoorMedianTotalPay,glassDoorRangeBasePay,glassDoorTotalPayRange
Accountant,Accountants and Auditors : Occupational Outlook Handbook: : U.S. ...,"$79,880 per year - $38.41 per hour",How much does an Accountant make?,$87K,$59K - $95K,$68K - $111K
Software Engineer,"Software Developers, Quality Assurance Analysts, and Testers ...","$130,160 per year - $62.58 per hour",How much does a Software Engineer make?,$162K,$96K - $146K,$129K - $208K
